lga_name,age >45 (2010),people total (2010)
Banyule,50536,124249
Bayside,42740,97283
Boroondara,66626,169507
Brimbank,67883,189386
Casey,80934,255659
Darebin,50939,141139
Frankston,49667,130462
Glen Eira,53117,137712
Greater Dandenong,52424,138558
Hobsons Bay,33808,88053
Hume,54397,171996
Kingston,60578,148830
Knox,60870,156997
Manningham,53690,119190
Maribyrnong,22671,72896
Maroondah,42579,106932
Melbourne,18857,96552
Melton,29332,107150
Monash,71918,177726
Moonee Valley,44292,112804
Moreland,52836,150838
Port Phillip,31006,97429
Stonnington,36477,100351
Whitehorse,64004,156797
Whittlesea,51282,155113
Wyndham,42075,156573
Yarra,23552,79540
Cardinia,24210,73318
Mornington Peninsula,70593,150238
Nillumbik,24826,64184
Yarra Ranges,59538,150198
